CNR;ParentCNR;Cat;Count;Use/yr;Estado de disponibilidad;Clases de gerninacion;Cantida De Semillas;Use/yr.NA;Estado de disponibilidad.NA;Clases de gerninacion.NA;Cantida De Semillas.NA
10;Leguminous crops;Soya;2577;5;4.09;2.57;1.5;0;0;0;0
1001;100;Glycine max;2577;5;4.09;2.57;1.5;0;0;0;0
10011;1001;M20GC;1108;5;2.2;2.74;1.82;0;0;0;0
100111;10011;Ortodoxas;1108;5;2.2;2.74;1.82;0;0;0;0
1001111;100111;Bajo;55;5;2.69;2.49;1.13;0;0;0;0
1001112;100111;Medio;1051;5;2.18;2.75;1.86;0;0;0;0
1001113;100111;Alto;2;5;1;3;3;0;0;0;0
10013;1001;4GC;1469;5;5.51;2.44;1.26;0;0;0;0
100131;10013;Ortodoxas;1469;5;5.51;2.44;1.26;0;0;0;0
1001311;100131;Bajo;1224;5;5.7;2.55;1.17;0;0;0;0
1001312;100131;Medio;245;5;4.6;1.89;1.72;0;0;0;0
13;Cereals;Cebada;294;4.74;2.17;2.86;1.28;0;0;0;0
1301;130;Hordeum vulgare;294;4.74;2.17;2.86;1.28;0;0;0;0
13011;1301;M20GC;160;4.65;2.97;2.8;1.3;0;0;0;0
130111;13011;Ortodoxas;160;4.65;2.97;2.8;1.3;0;0;0;0
1301111;130111;Bajo;112;4.64;2.89;2.82;1;0;0;0;0
1301112;130111;Medio;48;4.67;3.15;2.75;2;0;0;0;0
13013;1301;4GC;134;4.85;1.21;2.94;1.25;0;0;0;0
130131;13013;Ortodoxas;134;4.85;1.21;2.94;1.25;0;0;0;0
1301311;130131;Bajo;108;4.81;1.26;2.95;1;0;0;0;0
1301312;130131;Medio;19;5;1;2.89;2.26;0;0;0;0
1301313;130131;Alto;7;5;1;2.86;2.29;0;0;0;0
11;Cereals;Arroz;744;5;4.76;2.35;1.88;0;0;0;0
1101;110;Oryza sativa;744;5;4.76;2.35;1.88;0;0;0;0
11011;1101;M20GC;145;5;4.41;2.77;1.97;0;0;0;0
110111;11011;Ortodoxas;145;5;4.41;2.77;1.97;0;0;0;0
1101111;110111;Bajo;27;5;5.15;2.78;1.74;0;0;0;0
1101112;110111;Medio;68;5;4.75;2.62;1.65;0;0;0;0
1101113;110111;Alto;50;5;3.56;2.96;2.54;0;0;0;0
11013;1101;4GC;599;5;4.85;2.26;1.86;0;0;0;0
110131;11013;Ortodoxas;599;5;4.85;2.26;1.86;0;0;0;0
1101311;110131;Bajo;283;5;5.34;2.23;1.46;0;0;0;0
1101312;110131;Medio;144;5;4.57;2.31;1.77;0;0;0;0
1101313;110131;Alto;172;5;4.27;2.25;2.58;0;0;0;0
18;Fruits and nuts;Passifloras;63;3;4.33;1.71;2.13;0;0;0;0
1801;180;Passiflora adenopoda;6;3;3.5;1.83;2.83;0;0;0;0
18013;1801;4GC;6;3;3.5;1.83;2.83;0;0;0;0
180131;18013;Ortodoxas;6;3;3.5;1.83;2.83;0;0;0;0
1801312;180131;Medio;1;3;7;1;2;0;0;0;0
1801313;180131;Alto;5;3;2.8;2;3;0;0;0;0
1802;180;Passiflora ambigua;1;3;1;2;1;0;0;0;0
18023;1802;4GC;1;3;1;2;1;0;0;0;0
180231;18023;Ortodoxas;1;3;1;2;1;0;0;0;0
1802311;180231;Bajo;1;3;1;2;1;0;0;0;0
1803;180;Passiflora caerulea;1;3;1;3;2;0;0;0;0
18033;1803;4GC;1;3;1;3;2;0;0;0;0
180331;18033;Ortodoxas;1;3;1;3;2;0;0;0;0
1803312;180331;Medio;1;3;1;3;2;0;0;0;0
1804;180;Passiflora capsularis;2;3;7;1;3;0;0;0;0
